collected_at,observed_at,location,latitude,longitude,temperature_c,apparent_temperature_c,relative_humidity_pct,precipitation_mm,weather_code
2026-08-27T10:28:24+09:00,2026-08-27T10:15,진주,35.1800,128.1076,29.5,36.3,78,0.0,1
2026-08-27T10:50:30+09:00,2026-08-27T10:45,진주,35.1800,128.1076,30.0,37.0,78,0.0,1
2026-08-28T16:05:49+09:00,2026-08-28T16:00,진주,35.1800,128.1076,27.1,33.9,95,0.4,61
2026-08-29T06:56:55+09:00,2026-08-29T06:45,진주,35.1800,128.1076,25.5,31.2,97,0.0,1
2026-08-29T07:18:47+09:00,2026-08-29T07:15,진주,35.1800,128.1076,25.9,31.8,97,0.0,1
2026-08-29T08:18:30+09:00,2026-08-29T08:15,진주,35.1800,128.1076,27.6,33.5,90,0.0,1
2026-08-29T09:18:39+09:00,2026-08-29T09:15,진주,35.1800,128.1076,28.8,34.8,85,0.0,0
2026-08-29T10:18:40+09:00,2026-08-29T10:15,진주,35.1800,128.1076,29.9,35.8,80,0.0,1
2026-08-29T11:18:36+09:00,2026-08-29T11:15,진주,35.1800,128.1076,30.5,36.3,78,0.0,2
2026-08-29T12:18:37+09:00,2026-08-29T12:15,진주,35.1800,128.1076,30.9,36.6,77,0.0,1
2026-08-29T13:18:44+09:00,2026-08-29T13:15,진주,35.1800,128.1076,31.3,37.0,76,0.0,1
2026-08-29T14:18:55+09:00,2026-08-29T14:15,진주,35.1800,128.1076,31.4,37.0,76,0.1,51
2026-08-29T15:18:54+09:00,2026-08-29T15:15,진주,35.1800,128.1076,30.6,36.1,78,0.0,1
2026-08-29T16:19:52+09:00,2026-08-29T16:15,진주,35.1800,128.1076,29.3,35.4,85,0.0,1
2026-08-29T17:18:48+09:00,2026-08-29T17:15,진주,35.1800,128.1076,29.7,35.2,82,0.0,1
2026-08-29T18:18:48+09:00,2026-08-29T18:15,진주,35.1800,128.1076,28.9,34.8,85,0.0,1
2026-08-29T19:19:39+09:00,2026-08-29T19:15,진주,35.1800,128.1076,27.9,34.1,89,0.0,1
2026-08-29T20:18:31+09:00,2026-08-29T20:15,진주,35.1800,128.1076,27.1,33.7,94,0.0,1
2026-08-29T21:18:47+09:00,2026-08-29T21:15,진주,35.1800,128.1076,26.6,33.2,96,0.0,1
2026-08-29T22:18:39+09:00,2026-08-29T22:15,진주,35.1800,128.1076,25.9,31.9,96,0.0,1
2026-08-29T23:18:44+09:00,2026-08-29T23:15,진주,35.1800,128.1076,25.4,31.3,97,0.0,1
2026-08-30T00:18:34+09:00,2026-08-30T00:15,진주,35.1800,128.1076,25.3,31.0,97,0.0,1
2026-08-30T01:18:34+09:00,2026-08-30T01:15,진주,35.1800,128.1076,25.1,30.6,97,0.0,1
2026-08-30T02:18:47+09:00,2026-08-30T02:15,진주,35.1800,128.1076,24.6,29.9,97,0.0,0
2026-08-30T03:18:52+09:00,2026-08-30T03:15,진주,35.1800,128.1076,24.3,29.4,97,0.0,0
2026-08-30T04:18:46+09:00,2026-08-30T04:15,진주,35.1800,128.1076,24.3,29.6,98,0.0,0
2026-08-30T05:18:44+09:00,2026-08-30T05:15,진주,35.1800,128.1076,23.9,29.3,99,0.0,1
2026-08-30T06:18:48+09:00,2026-08-30T06:15,진주,35.1800,128.1076,24.0,29.9,99,0.0,1
2026-08-30T07:19:02+09:00,2026-08-30T07:15,진주,35.1800,128.1076,24.3,30.2,99,0.0,3
2026-08-30T08:18:41+09:00,2026-08-30T08:15,진주,35.1800,128.1076,25.3,31.7,98,0.0,2
2026-08-30T09:18:40+09:00,2026-08-30T09:15,진주,35.1800,128.1076,27.2,33.9,89,0.0,1
2026-08-30T10:18:52+09:00,2026-08-30T10:15,진주,35.1800,128.1076,29.6,36.3,81,0.0,1
2026-08-30T11:18:41+09:00,2026-08-30T11:15,진주,35.1800,128.1076,30.7,37.0,76,0.0,1
2026-08-30T12:18:34+09:00,2026-08-30T12:15,진주,35.1800,128.1076,31.0,37.8,77,0.1,51
2026-08-30T13:18:50+09:00,2026-08-30T13:15,진주,35.1800,128.1076,30.7,37.5,78,0.1,51
2026-08-30T14:18:50+09:00,2026-08-30T14:15,진주,35.1800,128.1076,31.1,37.8,78,0.1,51
2026-08-30T15:18:50+09:00,2026-08-30T15:15,진주,35.1800,128.1076,30.5,36.9,80,0.1,51
2026-08-30T16:18:42+09:00,2026-08-30T16:15,진주,35.1800,128.1076,30.7,36.8,78,0.0,1
2026-08-30T17:18:43+09:00,2026-08-30T17:15,진주,35.1800,128.1076,30.2,36.4,79,0.0,1
2026-08-30T18:18:47+09:00,2026-08-30T18:15,진주,35.1800,128.1076,29.2,35.5,83,0.0,1
2026-08-30T19:18:46+09:00,2026-08-30T19:15,진주,35.1800,128.1076,27.4,33.9,92,0.0,1
2026-08-30T20:18:48+09:00,2026-08-30T20:15,진주,35.1800,128.1076,26.8,33.2,93,0.0,1
2026-08-30T21:18:49+09:00,2026-08-30T21:15,진주,35.1800,128.1076,26.5,32.6,94,0.0,1
2026-08-30T22:18:37+09:00,2026-08-30T22:15,진주,35.1800,128.1076,25.9,31.9,96,0.0,1
2026-08-30T23:18:44+09:00,2026-08-30T23:15,진주,35.1800,128.1076,25.5,31.5,97,0.0,1
2026-08-31T00:18:55+09:00,2026-08-31T00:15,진주,35.1800,128.1076,25.3,31.3,98,0.0,1
2026-08-31T01:18:43+09:00,2026-08-31T01:15,진주,35.1800,128.1076,25.2,31.0,98,0.0,1
2026-08-31T02:18:41+09:00,2026-08-31T02:15,진주,35.1800,128.1076,24.8,30.6,98,0.1,51
2026-08-31T03:18:44+09:00,2026-08-31T03:15,진주,35.1800,128.1076,24.9,30.8,97,0.1,51
2026-08-31T04:18:48+09:00,2026-08-31T04:15,진주,35.1800,128.1076,24.5,30.1,98,0.2,53
2026-08-31T05:18:44+09:00,2026-08-31T05:15,진주,35.1800,128.1076,24.3,29.9,99,0.1,51
2026-08-31T06:18:43+09:00,2026-08-31T06:15,진주,35.1800,128.1076,24.5,30.2,98,0.0,1
2026-08-31T07:18:44+09:00,2026-08-31T07:15,진주,35.1800,128.1076,25.8,31.5,95,0.0,1
2026-08-31T08:18:37+09:00,2026-08-31T08:15,진주,35.1800,128.1076,27.3,33.3,92,0.0,0
2026-08-31T09:18:49+09:00,2026-08-31T09:15,진주,35.1800,128.1076,28.9,34.3,84,0.0,1
2026-08-31T10:18:41+09:00,2026-08-31T10:15,진주,35.1800,128.1076,30.2,35.1,76,0.0,0
2026-08-31T11:18:49+09:00,2026-08-31T11:15,진주,35.1800,128.1076,31.1,36.5,74,0.0,0
2026-08-31T12:18:48+09:00,2026-08-31T12:15,진주,35.1800,128.1076,31.5,37.3,73,0.0,0
2026-08-31T13:18:51+09:00,2026-08-31T13:15,진주,35.1800,128.1076,31.7,37.4,72,0.0,0
2026-08-31T14:18:34+09:00,2026-08-31T14:15,진주,35.1800,128.1076,31.3,36.4,72,0.0,1
2026-08-31T15:18:53+09:00,2026-08-31T15:15,진주,35.1800,128.1076,31.0,35.4,72,0.0,1
2026-08-31T16:18:49+09:00,2026-08-31T16:15,진주,35.1800,128.1076,30.1,34.7,75,0.0,3
2026-08-31T17:18:51+09:00,2026-08-31T17:15,진주,35.1800,128.1076,29.3,34.1,78,0.0,1
2026-08-31T18:19:02+09:00,2026-08-31T18:15,진주,35.1800,128.1076,28.2,33.2,81,0.0,1
2026-08-31T19:18:51+09:00,2026-08-31T19:15,진주,35.1800,128.1076,27.0,32.1,85,0.0,1
2026-08-31T20:19:00+09:00,2026-08-31T20:15,진주,35.1800,128.1076,26.2,31.4,88,0.0,2
2026-08-31T21:18:46+09:00,2026-08-31T21:15,진주,35.1800,128.1076,25.5,30.8,92,0.0,1
2026-08-31T22:18:46+09:00,2026-08-31T22:15,진주,35.1800,128.1076,24.9,30.0,94,0.0,0
2026-08-31T23:18:50+09:00,2026-08-31T23:15,진주,35.1800,128.1076,24.7,29.5,93,0.0,0
2026-09-01T00:18:54+09:00,2026-09-01T00:15,진주,35.1800,128.1076,24.3,28.8,94,0.0,0
2026-09-01T01:18:51+09:00,2026-09-01T01:15,진주,35.1800,128.1076,23.9,28.4,94,0.0,0
2026-09-01T02:18:47+09:00,2026-09-01T02:15,진주,35.1800,128.1076,23.6,28.2,94,0.0,1
2026-09-01T03:18:41+09:00,2026-09-01T03:15,진주,35.1800,128.1076,23.9,28.8,92,0.0,1
2026-09-01T04:18:40+09:00,2026-09-01T04:15,진주,35.1800,128.1076,22.8,26.9,96,0.0,0
2026-09-01T05:18:47+09:00,2026-09-01T05:15,진주,35.1800,128.1076,22.8,27.0,95,0.0,0
2026-09-01T06:18:39+09:00,2026-09-01T06:15,진주,35.1800,128.1076,22.7,26.6,95,0.0,1
2026-09-01T07:18:35+09:00,2026-09-01T07:15,진주,35.1800,128.1076,23.7,28.5,94,0.0,1
2026-09-01T08:18:34+09:00,2026-09-01T08:15,진주,35.1800,128.1076,25.6,31.7,92,0.0,1
2026-09-01T09:35:11+09:00,2026-09-01T09:30,진주,35.1800,128.1076,28.2,34.4,83,0.0,0
2026-09-01T10:22:53+09:00,2026-09-01T10:15,진주,35.1800,128.1076,29.5,35.6,78,0.0,1
2026-09-01T11:23:56+09:00,2026-09-01T11:15,진주,35.1800,128.1076,29.9,35.1,75,0.0,2
2026-09-01T12:25:21+09:00,2026-09-01T12:15,진주,35.1800,128.1076,28.9,34.4,79,0.0,2
2026-09-01T13:24:43+09:00,2026-09-01T13:15,진주,35.1800,128.1076,28.4,33.6,84,0.3,55
2026-09-01T14:24:06+09:00,2026-09-01T14:15,진주,35.1800,128.1076,28.9,34.2,82,0.1,51
2026-09-01T15:31:02+09:00,2026-09-01T15:30,진주,35.1800,128.1076,29.5,35.4,82,0.1,51
2026-09-01T16:25:14+09:00,2026-09-01T16:15,진주,35.1800,128.1076,28.8,34.3,83,0.0,1
2026-09-01T17:27:30+09:00,2026-09-01T17:15,진주,35.1800,128.1076,28.7,34.5,84,0.0,1
2026-09-01T18:25:36+09:00,2026-09-01T18:15,진주,35.1800,128.1076,27.9,33.9,87,0.0,1
2026-09-01T19:28:10+09:00,2026-09-01T19:15,진주,35.1800,128.1076,26.7,32.8,92,0.0,2
2026-09-01T20:24:12+09:00,2026-09-01T20:15,진주,35.1800,128.1076,26.3,32.1,92,0.0,2
2026-09-01T21:30:30+09:00,2026-09-01T21:30,진주,35.1800,128.1076,25.4,31.1,95,0.0,1
2026-09-01T22:25:32+09:00,2026-09-01T22:15,진주,35.1800,128.1076,25.1,30.5,94,0.0,2
2026-09-01T23:26:08+09:00,2026-09-01T23:15,진주,35.1800,128.1076,24.5,29.6,96,0.0,1
2026-09-02T00:43:49+09:00,2026-09-02T00:30,진주,35.1800,128.1076,24.1,29.0,98,0.0,1
2026-09-02T01:41:50+09:00,2026-09-02T01:30,진주,35.1800,128.1076,24.0,29.2,99,0.0,1
2026-09-02T02:23:39+09:00,2026-09-02T02:15,진주,35.1800,128.1076,23.4,28.3,99,0.0,1
2026-09-02T03:28:33+09:00,2026-09-02T03:15,진주,35.1800,128.1076,23.1,27.7,99,0.0,1
2026-09-02T04:22:08+09:00,2026-09-02T04:15,진주,35.1800,128.1076,23.0,27.7,99,0.0,3
2026-09-02T05:23:58+09:00,2026-09-02T05:15,진주,35.1800,128.1076,23.0,27.9,99,0.0,3
2026-09-02T06:23:41+09:00,2026-09-02T06:15,진주,35.1800,128.1076,23.1,28.4,99,0.0,3
2026-09-02T07:22:35+09:00,2026-09-02T07:15,진주,35.1800,128.1076,23.1,28.5,99,0.0,3
2026-09-02T08:20:25+09:00,2026-09-02T08:15,진주,35.1800,128.1076,23.6,29.2,99,0.0,3
2026-09-02T09:33:17+09:00,2026-09-02T09:30,진주,35.1800,128.1076,26.2,32.4,91,0.0,2
2026-09-02T10:22:08+09:00,2026-09-02T10:15,진주,35.1800,128.1076,27.8,34.1,82,0.0,0
2026-09-02T11:37:06+09:00,2026-09-02T11:30,진주,35.1800,128.1076,29.8,36.4,73,0.0,1
2026-09-02T12:24:03+09:00,2026-09-02T12:15,진주,35.1800,128.1076,30.5,36.7,69,0.0,1
2026-09-02T13:26:34+09:00,2026-09-02T13:15,진주,35.1800,128.1076,31.2,37.3,66,0.0,1
2026-09-02T14:27:20+09:00,2026-09-02T14:15,진주,35.1800,128.1076,31.2,36.7,67,0.0,1
2026-09-02T15:34:41+09:00,2026-09-02T15:30,진주,35.1800,128.1076,30.9,36.1,67,0.0,1
2026-09-02T16:25:03+09:00,2026-09-02T16:15,진주,35.1800,128.1076,30.5,35.6,69,0.0,1
2026-09-02T17:26:51+09:00,2026-09-02T17:15,진주,35.1800,128.1076,29.7,35.0,72,0.0,1
